City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
0,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1,Rikitea,PF,74.1,overcast clouds,-23.1203,-134.9692,People ThankYou
6,Castro,BR,71.8,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
7,Los Llanos De Aridane,ES,71.35,clear sky,28.6585,-17.9182,Valle Aridane
9,Atuona,PF,77.29,scattered clouds,-9.8,-139.0333,Villa Enata
10,Jamestown,US,77.02,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
12,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
15,Butaritari,KI,81.37,light rain,3.0707,172.7902,Isles Sunset Lodge
21,Albany,US,80.06,overcast clouds,42.6001,-73.9662,
22,Faanui,PF,78.96,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
29,Hilo,US,80.33,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
36,Shingu,JP,76.86,clear sky,33.7333,135.9833,Shingu UI Hotel
37,San Lawrenz,MT,87.21,clear sky,36.0553,14.204,San Andrea Hotel
38,Betong,TH,72.48,overcast clouds,5.7743,101.0723,New Cathay Hotel
39,San Andres,CO,87.82,few clouds,12.5847,-81.7006,Hotel Arena Blanca
41,Tual,ID,78.76,broken clouds,-5.6667,132.75,Grand Vilia Hotel
43,Lompoc,US,71.74,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
44,Yumen,CN,81.32,few clouds,40.2833,97.2,
47,San Lazaro,BZ,80.38,overcast clouds,18.0387,-88.6622,
49,Fujieda,JP,76.84,broken clouds,34.8667,138.2667,Toyoko INN Shizuoka Fujiedaeki Kitaguchi
50,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
51,Mayumba,GA,70.68,overcast clouds,-3.432,10.6554,LIKWALE LODGE
53,Odweyne,SO,81.05,broken clouds,9.4092,45.064,Eng Hiirey House
55,Labuhan,ID,76.66,broken clouds,-6.8844,112.2051,DoubleFAG
57,Bengkulu,ID,76.48,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
58,Guerrero Negro,MX,77.47,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
62,Arraial Do Cabo,BR,75.06,clear sky,-22.9661,-42.0278,Pousada Porto Praia
67,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
70,Srikakulam,IN,81.77,overcast clouds,18.3,83.9,Micro Systems
75,Pitimbu,BR,81.19,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
76,Kota Kinabalu,MY,75.18,heavy intensity rain,5.9749,116.0724,Gaya Centre Hotel
79,Kushima,JP,78.04,scattered clouds,31.4583,131.2333,Hanaoka
81,Gryazi,RU,74.35,overcast clouds,52.4966,39.9359,Гостиница Ника
82,Hami,CN,86.16,broken clouds,42.8,93.45,Laoyutang Resort
84,Shenjiamen,CN,80.1,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
87,Calabazar De Sagua,CU,88.27,scattered clouds,22.6447,-79.8961,Hostal La Terraza
90,Namatanai,PG,78.8,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
97,Bandarbeyla,SO,76.96,broken clouds,9.4942,50.8122,JABIR HOTEL
99,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
100,Puerto Colombia,CO,87.89,broken clouds,10.9878,-74.9547,Hotel El Emigrante
101,Naqadeh,IR,79.48,clear sky,36.9553,45.388,ایبنه شربین اووی
102,Lazaro Cardenas,MX,86.63,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
103,Katsuura,JP,79.21,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
104,Pundaguitan,PH,82.96,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
105,Harrisonburg,US,83.17,heavy intensity rain,38.4496,-78.8689,Hampton Inn Harrisonburg - University
107,Goderich,CA,72.28,overcast clouds,43.7501,-81.7165,Harmony Inn
108,Puerto Escondido,MX,86.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
112,Kahta,TR,88.97,clear sky,37.7855,38.6237,KommageneİZ Hotel
113,Biak,ID,75.16,overcast clouds,-0.9131,122.8766,Penginapan Kim
114,Gat,IL,83.39,clear sky,31.61,34.7642,OlusHome
116,Paris,FR,75.96,clear sky,48.8534,2.3488,Britannique Hotel - Paris Centre
119,Avarua,CK,71.65,broken clouds,-21.2078,-159.775,Paradise Inn
120,Klyuchi,RU,71.87,broken clouds,52.2667,79.1667,Vesolaya Mayovka
124,Novopokrovskaya,RU,71.19,broken clouds,45.9514,40.7006,Etalon hotel
125,Miri,MY,75.6,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
128,Victoria,HK,86.95,clear sky,22.2855,114.1577,Mini Central
132,Mitchell,US,87.78,clear sky,43.7094,-98.0298,Kelly Inn & Suites
133,Takoradi,GH,76.8,broken clouds,4.8845,-1.7554,Raybow International Hotel
143,Vila Franca Do Campo,PT,75.61,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
144,Qobustan,AZ,82.29,few clouds,40.0824,49.412,
145,Umm Lajj,SA,89.49,few clouds,25.0213,37.2685,Moon light Furnished Units
146,Omama,JP,75.45,overcast clouds,36.4333,139.2833,Kiryu Grand Hotel
147,Willmar,US,78.82,clear sky,45.1219,-95.0433,Lakeview Inn
150,Hithadhoo,MV,81.88,overcast clouds,-0.6,73.0833,Scoop Guest House
153,Hambantota,LK,79.41,overcast clouds,6.1241,81.1185,Bungalow 63
156,Oranjestad,AW,80.28,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
158,Tiznit,MA,85.03,clear sky,29.5833,-9.5,
160,Troy,US,75.51,overcast clouds,42.6056,-83.1499,Embassy Suites by Hilton Detroit Troy Auburn Hills
161,Carutapera,BR,85.24,scattered clouds,-1.195,-46.02,Lidera
169,Harper,LR,75.54,overcast clouds,4.375,-7.7169,Screensaver
172,Bambous Virieux,MU,71.22,light rain,-20.3428,57.7575,Casa Tia Villa
173,Ribeira Grande,PT,79.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
174,Sorong,ID,77.41,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
176,Ashqelon,IL,83.82,clear sky,31.6693,34.5715,Leonardo Ashkelon
178,Hamilton,US,81.61,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
183,Poum,NC,72.32,overcast clouds,-20.2333,164.0167,
185,Port Blair,IN,81.91,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
187,Arras,FR,70.36,overcast clouds,50.293,2.7819,Appartements du Beffroi
189,Manono,CD,80.64,scattered clouds,-7.3,27.4167,Hotel hewa bora
194,Casper,US,82.72,clear sky,42.8666,-106.3131,Ramkota Hotel
195,Ugoofaaru,MV,82.09,broken clouds,5.6667,73.0,Ungoofaaru Inn
196,Grand-Lahou,CI,76.12,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
202,Artesia,US,87.87,clear sky,33.8658,-118.0831,Sheraton Cerritos Hotel
203,Roma,US,81.95,few clouds,43.2128,-75.4557,Wingate By Wyndham Rome
204,Tautira,PF,76.69,overcast clouds,-17.7333,-149.15,Pension Oaoa
205,Beyneu,KZ,88.59,broken clouds,45.3167,55.2,NUR
209,Ribeira Brava,PT,76.71,clear sky,32.65,-17.0667,Hotel do Campo
210,Kendari,ID,72.27,clear sky,-3.945,122.4989,Hotel Wixel
213,Corinto,GR,87.89,clear sky,37.9407,22.9573,Ephira Hotel
216,Ponta Do Sol,PT,76.71,clear sky,32.6667,-17.1,Hotel do Campo
219,Barentu,ER,70.07,overcast clouds,15.1139,37.5928,
226,Laguna De Perlas,NI,86.09,overcast clouds,12.3429,-83.6712,Hotel Best View
229,Sao Gabriel Da Cachoeira,BR,87.6,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
231,Yanam,IN,79.29,broken clouds,16.7333,82.2167,The Regency Hotel
233,Grandview,US,83.07,broken clouds,38.8858,-94.533,Holiday Inn Express & Suites Kansas City-Grandview
235,Kulim,MY,80.13,overcast clouds,5.365,100.5618,Tune Hotel - Kulim
236,Bonthe,SL,76.26,light rain,7.5264,-12.505,Bonthe Holiday Village
237,Yarmouth,US,84.61,clear sky,41.7057,-70.2286,Blue Rock Resort
239,Ajdabiya,LY,81.28,clear sky,30.7554,20.2263,Almadina Hotel
240,Sidi Ali,DZ,80.46,clear sky,36.0998,0.4206,Complexe touristique haje bezine
242,Salina,US,88.95,broken clouds,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
243,Bethel,US,87.37,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
245,Naze,JP,77.92,light rain,28.3667,129.4833,Shishime Hotel
246,Tura,IN,74.32,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
247,Grand Gaube,MU,71.38,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
249,Praia,CV,82.94,few clouds,14.9215,-23.5087,LT Aparthotel
252,Manggar,ID,80.85,overcast clouds,-2.8833,108.2667,Guest Hotel
254,Sinnamary,GF,82.36,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
257,Canico,PT,76.71,few clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
258,Arcani,RO,77.79,few clouds,45.0833,23.1333,Casa Stroie
261,Camocim,BR,84.2,scattered clouds,-2.9022,-40.8411,Ilha Praia Hotel
262,Huejuquilla El Alto,MX,75.13,broken clouds,22.6,-103.8667,Hotel Huexuquillan
263,Bucerias,MX,89.98,broken clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
264,Anloga,GH,77.04,broken clouds,5.7947,0.8973,Pin Drop Hotel
265,Palampur,IN,71.26,overcast clouds,32.1167,76.5333,FLB Resorts Jerry's Jungle Huts
266,Chase,CA,89.08,clear sky,50.8165,-119.6857,Chase Country Inn Motel
267,Seoul,KR,80.17,clear sky,37.5683,126.9778,LOTTE HOTEL SEOUL
268,Road Town,VG,87.84,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
270,Port Moresby,PG,76.42,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
272,Lancaster,US,85.6,broken clouds,40.2504,-76.2499,Refreshing Mountain Retreat and Adventure Center
273,Dingle,PH,76.1,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
274,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
277,Cayenne,GF,84.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
278,Darab,IR,79.92,moderate rain,28.7519,54.5444,Naghshe shapoor Hotel
281,Lumphat,KH,74.08,overcast clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
285,Kloulklubed,PW,73.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
286,Katra,IN,74.71,overcast clouds,32.9833,74.95,KC Residency Katra (4 Star) Experience the Luxuries of a 5 Star
287,Acapulco,MX,84.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
288,Lenger,KZ,80.04,broken clouds,42.183,69.8839,Gostevoy Dom 1
291,Hirara,JP,84.85,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
292,Aguadilla,PR,87.66,scattered clouds,18.4275,-67.1541,WSSM Surf House
297,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
300,Lagoa,PT,73.33,broken clouds,39.05,-27.9833,Casa Das Faias
301,Amapa,BR,83.77,broken clouds,1.0,-52.0,
303,Sao Filipe,CV,80.53,broken clouds,14.8961,-24.4956,Hotel Xaguate
306,Sola,VU,79.59,broken clouds,-13.8833,167.55,Leumerus Bungalows
307,Tamala,RU,73.63,overcast clouds,52.541,43.2515,Kolkhoznyy Pereulok
308,Kismayo,SO,75.7,scattered clouds,-0.3582,42.5454,Agan-Hotel
309,Nouadhibou,MR,78.78,clear sky,20.931,-17.0347,El Medina
314,Banda Aceh,ID,78.46,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
326,West Bay,KY,89.67,few clouds,19.3667,-81.4167,Calypso Cove
327,Saint-Francois,FR,78.24,clear sky,46.4154,3.9054,Manoir Du Bonheur
329,Suntar,RU,71.96,few clouds,62.1444,117.6319,Гостевая квартира
333,Palmer,US,84.43,broken clouds,42.1584,-72.3287,Wedgewood Motel
334,Altamira,BR,86.41,broken clouds,-3.2033,-52.2064,Requinte Hotel
339,Noumea,NC,70.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
340,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
341,Moron,AR,70.95,overcast clouds,-34.6534,-58.6198,Hotel Morón
342,Brigantine,US,86.04,broken clouds,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
343,Pavullo Nel Frignano,IT,80.24,broken clouds,44.3315,10.835,Hotel Vandelli
344,Papayal,PE,84.24,broken clouds,-4.0761,-80.7361,
349,Iztapa,GT,87.85,scattered clouds,13.9333,-90.7075,Villas de Puerto Viejo
350,Kavieng,PG,82.27,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
352,Concepcion Del Oro,MX,74.52,broken clouds,24.6333,-101.4167,Hotel Hacienda San Javier
