City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Kapaa,US,22.0752,-159.319,80.58,77,20,10.36,few clouds
1,Rikitea,PF,-23.1203,-134.9692,74.1,73,98,12.73,overcast clouds
2,Nome,US,64.5011,-165.4064,48.27,81,100,0.0,overcast clouds
3,Mataura,NZ,-46.1927,168.8643,47.48,99,100,1.68,moderate rain
4,Cuamba,MZ,-14.8031,36.5372,68.68,50,95,7.18,overcast clouds
5,Rawson,AR,-43.3002,-65.1023,46.04,77,100,10.29,overcast clouds
6,Castro,BR,-24.7911,-50.0119,71.8,47,42,5.97,scattered clouds
7,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,78,0,17.27,clear sky
8,Klaksvik,FO,62.2266,-6.589,52.72,85,100,12.17,overcast clouds
9,Atuona,PF,-9.8,-139.0333,77.29,67,33,20.83,scattered clouds
10,Jamestown,US,42.097,-79.2353,77.02,59,100,9.22,overcast clouds
11,Upernavik,GL,72.7868,-56.1549,39.96,83,100,2.39,overcast clouds
12,Puerto Ayora,EC,-0.7393,-90.3518,78.76,89,87,10.0,overcast clouds
13,Port Lincoln,AU,-34.7333,135.8667,50.5,86,58,7.56,broken clouds
14,Suzun,RU,53.7841,82.3116,64.44,74,96,2.8,overcast clouds
15,Butaritari,KI,3.0707,172.7902,81.37,76,5,16.04,light rain
16,Port Alfred,ZA,-33.5906,26.891,59.18,88,98,3.65,overcast clouds
17,Busselton,AU,-33.65,115.3333,53.13,75,79,8.63,broken clouds
18,Bredasdorp,ZA,-34.5322,20.0403,51.24,90,0,7.27,clear sky
19,Port Elizabeth,ZA,-33.918,25.5701,59.31,86,81,4.0,broken clouds
20,Tasiilaq,GL,65.6145,-37.6368,42.96,93,99,4.29,overcast clouds
21,Albany,US,42.6001,-73.9662,80.06,51,99,0.2,overcast clouds
22,Faanui,PF,-16.4833,-151.75,78.96,72,9,19.53,clear sky
23,Hermanus,ZA,-34.4187,19.2345,54.81,77,0,11.77,clear sky
24,Bluff,NZ,-46.6,168.3333,47.8,88,100,11.5,overcast clouds
25,Ushuaia,AR,-54.8,-68.3,42.46,56,40,2.3,scattered clouds
26,Punta Arenas,CL,-53.15,-70.9167,41.11,65,75,29.93,broken clouds
27,Ancud,CL,-41.8697,-73.8203,57.22,76,19,1.54,few clouds
28,Brownsville,US,25.9018,-97.4975,94.98,57,75,19.57,broken clouds
29,Hilo,US,19.7297,-155.09,80.33,82,100,8.05,overcast clouds
30,Marrakesh,MA,31.6315,-8.0083,100.47,15,20,10.36,few clouds
31,Taltal,CL,-25.4,-70.4833,64.96,69,78,4.36,broken clouds
32,Ostrovnoy,RU,68.0531,39.5131,66.54,74,100,20.85,overcast clouds
33,Vaini,TO,-21.2,-175.2,69.96,100,20,3.44,few clouds
34,Saint-Philippe,RE,-21.3585,55.7679,66.22,80,20,6.49,few clouds
35,Norman Wells,CA,65.282,-126.8329,61.84,42,57,4.41,broken clouds
36,Shingu,JP,33.7333,135.9833,76.86,93,5,3.38,clear sky
37,San Lawrenz,MT,36.0553,14.204,87.21,81,0,1.99,clear sky
38,Betong,TH,5.7743,101.0723,72.48,99,100,2.55,overcast clouds
39,San Andres,CO,12.5847,-81.7006,87.82,70,20,12.66,few clouds
40,Aykhal,RU,66.0,111.5,67.41,76,71,4.9,broken clouds
41,Tual,ID,-5.6667,132.75,78.76,85,57,24.45,broken clouds
42,Guane,CU,22.2025,-84.0875,91.2,53,7,11.3,clear sky
43,Lompoc,US,34.6391,-120.4579,71.74,79,100,8.05,overcast clouds
44,Yumen,CN,40.2833,97.2,81.32,12,19,8.14,few clouds
45,Yellowknife,CA,62.456,-114.3525,66.72,59,75,3.44,broken clouds
46,Carnarvon,AU,-24.8667,113.6333,60.87,72,100,3.44,overcast clouds
47,San Lazaro,BZ,18.0387,-88.6622,80.38,88,100,8.01,overcast clouds
48,Saskylakh,RU,71.9167,114.0833,63.55,96,68,12.35,broken clouds
49,Fujieda,JP,34.8667,138.2667,76.84,92,53,2.77,broken clouds
50,Georgetown,MY,5.4112,100.3354,80.53,85,20,5.75,few clouds
51,Mayumba,GA,-3.432,10.6554,70.68,86,86,5.48,overcast clouds
52,Chuy,UY,-33.6971,-53.4616,65.14,81,51,7.23,broken clouds
53,Odweyne,SO,9.4092,45.064,81.05,35,78,21.74,broken clouds
54,Qaanaaq,GL,77.484,-69.3632,40.91,78,67,7.58,broken clouds
55,Labuhan,ID,-6.8844,112.2051,76.66,84,62,7.14,broken clouds
56,Lebu,CL,-37.6167,-73.65,53.11,76,90,12.57,overcast clouds
57,Bengkulu,ID,-3.8004,102.2655,76.48,86,48,2.91,scattered clouds
58,Guerrero Negro,MX,27.9769,-114.0611,77.47,55,3,10.02,clear sky
59,Hokitika,NZ,-42.7167,170.9667,49.96,89,100,6.58,overcast clouds
60,Saldanha,ZA,-33.0117,17.9442,53.65,79,0,7.54,clear sky
61,Stanger,ZA,-29.3282,31.2895,66.09,86,55,6.87,broken clouds
62,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,69,0,16.11,clear sky
63,Dali,CN,25.7,100.1833,62.33,94,98,4.0,overcast clouds
64,Souillac,MU,-20.5167,57.5167,69.94,83,21,11.52,light rain
65,Qasigiannguit,GL,68.8193,-51.1922,44.85,89,98,3.58,overcast clouds
