City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaitape,PF,2022-07-26 02:15:11,-16.5167,-151.75,77.41,76,88,9.42
1,Nikolskoye,RU,2022-07-26 02:15:12,59.7035,30.7861,59.81,90,80,2.33
2,Tetiyiv,UA,2022-07-26 02:15:12,49.3767,29.6647,56.3,92,0,5.7
3,Ushuaia,AR,2022-07-26 02:15:13,-54.8,-68.3,35.26,69,40,18.41
4,Mataura,NZ,2022-07-26 02:15:13,-46.1927,168.8643,46.47,97,100,10.85
5,Cape Town,ZA,2022-07-26 02:14:19,-33.9258,18.4232,58.37,71,0,4.61
6,Cayenne,GF,2022-07-26 02:15:14,4.9333,-52.3333,83.08,9,20,2.3
7,Hilo,US,2022-07-26 02:11:53,19.7297,-155.09,88.29,92,75,4.61
8,Puerto Ayora,EC,2022-07-26 02:15:14,-0.7393,-90.3518,70.56,94,98,5.01
9,Mahebourg,MU,2022-07-26 02:15:15,-20.4081,57.7,68.29,88,40,4.61
10,Kaabong,UG,2022-07-26 02:02:44,3.4836,34.1492,64.18,67,92,5.88
11,Kirkkonummi,FI,2022-07-26 02:15:16,60.1238,24.4385,67.05,86,100,10.11
12,Dwarka,IN,2022-07-26 02:15:16,22.2394,68.9678,82.53,80,100,18.52
13,Kayes,ML,2022-07-26 02:15:16,14.0,-11.0,75.06,92,100,5.41
14,Bluff,NZ,2022-07-26 02:15:17,-46.6,168.3333,46.8,89,100,27.04
15,Nador,MA,2022-07-26 02:10:43,35.174,-2.9287,79.05,73,0,2.3
16,Albany,US,2022-07-26 02:15:17,42.6001,-73.9662,71.37,64,0,8.52
17,Ransang,PH,2022-07-26 02:15:18,8.9603,117.5828,84.78,70,100,0.78
18,Rikitea,PF,2022-07-26 02:15:18,-23.1203,-134.9692,75.54,74,44,11.14
19,Kawalu,ID,2022-07-26 02:15:19,-7.3817,108.2082,74.86,68,88,3.78
20,Saint Anthony,US,2022-07-26 02:15:19,45.0205,-93.218,71.92,65,0,6.91
21,Bilma,NE,2022-07-26 02:15:20,18.6853,12.9164,86.54,20,20,11.34
22,Daru,PG,2022-07-26 02:10:37,-9.0763,143.2092,78.44,82,87,15.41
23,Clyde River,CA,2022-07-26 02:08:33,70.4692,-68.5914,38.97,85,99,3.56
24,Atuona,PF,2022-07-26 02:15:20,-9.8,-139.0333,77.67,68,0,9.55
25,Tuktoyaktuk,CA,2022-07-26 02:15:21,69.4541,-133.0374,60.8,72,75,20.71
26,Kuloy,RU,2022-07-26 02:15:21,61.0305,42.4925,55.18,86,19,3.91
27,Guerrero Negro,MX,2022-07-26 02:15:22,27.9769,-114.0611,70.5,78,5,15.93
28,Mackay,AU,2022-07-26 02:15:22,-21.15,149.2,76.68,72,3,5.57
29,Arraial Do Cabo,BR,2022-07-26 02:15:23,-22.9661,-42.0278,70.41,88,8,18.43
30,Laguna,US,2022-07-26 02:15:23,38.421,-121.4238,95.31,40,0,11.5
31,Lakes Entrance,AU,2022-07-26 02:15:23,-37.8811,147.981,56.16,72,100,15.66
32,Touros,BR,2022-07-26 02:12:47,-5.1989,-35.4608,72.9,83,83,14.52
